frame_id,left_knee_angle,right_knee_angle,avg_knee_angle,knee_symmetry,trunk_lean,shoulder_width,feet_width,stance_ratio,hip_height,left_heel_lift,right_heel_lift,left_shoulder_angle,right_shoulder_angle,avg_shoulder_angle,hip_shoulder_offset
10,120.34715072399032,119.17797060795785,119.76256066597409,1.1691801160324786,53.001493996116075,0.40149968192354707,10.081075723361481,25.108489666976705,0.6017382088714018,-9.105358877269794,-8.775189949709116,22.16936881851824,15.424117349070281,18.79674308379426,0.798578224657639
11,120.38219412183628,119.15822925119559,119.77021168651594,1.2239648706406854,52.976510880256384,0.40123728691960103,10.073299921027985,25.105530178495762,0.6020864154498229,-9.085642928116364,-8.76050274239564,22.186851964413187,15.40070542141565,18.79377869291442,0.7983158389304761
12,120.34825452791685,119.24698433800415,119.7976194329605,1.1012701899126967,53.07531567774309,0.40226797036771617,10.095740088909121,25.096989409052735,0.6007087306364688,-9.110042173597282,-8.77914349424049,22.229607164963173,15.426378749332963,18.82799295714807,0.7993527737406753
13,120.39993589202336,119.23292494336668,119.81643041769502,1.1670109486566815,53.08311212973672,0.40300986658066557,10.102685485134122,25.068022534603287,0.60059992220064,-9.173555824700696,-8.555361983247291,22.242082264418062,15.398295259721479,18.82018876206977,0.7994344646567799
14,120.35098763245374,119.2886162963951,119.81980196442441,1.0623713360586322,52.84878915978703,0.4042246397508275,10.09802547573793,24.981160230119368,0.603864393293962,-8.835825959744973,-8.397714376542403,22.154501610462802,15.490898178551278,18.82269989450704,0.7969715698720328
15,120.04839016685531,120.21537590201845,120.13188303443688,0.16698573516313786,52.388578316138,0.40762969696680856,10.073078087844632,24.711284412088414,0.6102464112350209,-8.792586902950319,-8.275645117305928,22.106326129249066,15.490782879268556,18.79855450425881,0.7920957250804964
16,119.95302960980878,120.60783336992802,120.28043148986839,0.6548037601192362,52.02940780257441,0.4060273067966477,9.999433582359282,24.627429701267914,0.6152000822751034,-8.506917127137488,-8.09111417329289,22.162762689783168,15.608175388379117,18.885469039081144,0.7882550789277345
17,119.85676494535448,120.72946176382163,120.29311335458806,0.8726968184671478,51.762036483417354,0.40683457412854585,9.994920220624385,24.56746866847573,0.618871774379027,-8.097522760638682,-7.882375933371453,22.149811285231642,15.596194833346614,18.87300305928913,0.7853756695850127
18,119.92066129147474,120.66108701130031,120.29087415138753,0.7404257198255664,50.330556800239215,0.4035650096675716,9.829813634338556,24.35738738858519,0.638299382599783,-5.846956348287147,-6.285010844158091,22.753837188572522,15.944054680517644,19.348945934545082,0.7696713672724425
19,119.62250806597294,121.2586756004721,120.44059183322253,1.6361675344991653,49.67096815803909,0.4105808371043542,9.842449602259569,23.971955680440864,0.6471176153963718,-4.213665417587102,-4.669419513090364,22.715416318856807,16.113737022648802,19.414576670752805,0.7622727398747551
20,119.65551726397428,121.10803881866961,120.38177804132195,1.4525215546953376,48.55309557486433,0.40340371090557103,9.66427236381598,23.956766251245373,0.6618671576082291,-3.6727098260010713,-4.209333388606694,23.575736590253143,16.221202271514915,19.898469430884028,0.7495042691163849
21,119.57227187944682,120.83570231621977,120.20398709783329,1.2634304367729499,47.401349766299234,0.39756937128996434,9.438966252878295,23.74162396018709,0.6768003764185073,-1.0816581241145826,-3.360252207428484,24.15855376353335,16.652983123537318,20.405768443535337,0.7360507684255266
22,118.89644148076242,120.1016419177941,119.49904169927825,1.205200437031678,46.50299455967761,0.39048567188433475,9.329153646980416,23.891093649782203,0.6882583525989532,-0.5180629647457451,-2.339453327936905,24.759383913198764,17.294610463055292,21.026997188127027,0.7253499478170814
23,118.27386078539986,119.29856643652313,118.7862136109615,1.02470565112327,44.90854060787402,0.3762147440673931,9.01086026415676,23.951310933288873,0.7081767624576483,-0.3006894538897029,-1.3028975371344096,25.24561270469677,18.32250402141829,21.784058363057532,0.7059204814372706
